ArtistKey,artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,mode,count
4465,Christian Leave,0.668333333,0.607333333,139319.6667,0.362666667,0.001355057,0.217333333,-7.764666667,0.036233333,122.2356667,0.264333333,66.66666667,1,6
4466,Christian McBride,0.9405,0.4855,267266.5,0.07785,0.44000073,0.09235,-22.566,0.044,88.553,0.1109,24,1,2
4467,Christian Nodal,0.35675,0.6246875,179534.875,0.509375,0,0.21155,-4.41225,0.039775,145.84075,0.6808125,72.125,1,32
4468,Christian Rich,0.07545,0.76,160324,0.596,0.0250519,0.1935,-6.821,0.1123,124.0585,0.345,60,1,4
4469,Christian Scott aTunde Adjuah,0.901,0.278,373880,0.239,0.141,0.18,-15.248,0.0353,169.229,0.204,48,1,2
4470,Christian Sinding,0.919,0.3135,296647,0.3105,0.3795,0.119,-13.8,0.0407,106.652,0.17615,3,0,2
4471,Christian Spring,0.993,0.3,343000,0.0179,0.876,0.119,-28.318,0.0602,79.853,0.0398,49,1,2
4472,Christianne Jensen,0.82,0.827,219227,0.405,8.01E-05,0.103,-8.95,0.0463,114.989,0.531,53,1,2
4473,Christie,0.0859,0.627,165960,0.544,0,0.152,-11.436,0.029,129.851,0.877,50,1,2
4474,Christie Laume,0.18,0.541,140827,0.871,1.52E-06,0.146,-6.998,0.0632,130.455,0.828,22,1,2
4475,Christina Aguilera,0.303541689,0.594433333,232162.5444,0.623088889,0.000838617,0.225476667,-5.896166667,0.096767778,122.4977111,0.445655556,53.95555556,1,90
4476,Christina Grimmie,0.193,0.439,263598,0.751,4.61E-05,0.0577,-7.632,0.0527,164.103,0.221,68,1,1
4477,Christina Milian,0.0156,0.7784,224197.2,0.7876,0.0003587,0.15312,-4.3572,0.0988,138.9456,0.5084,51.2,1,5
4478,Christina Modestou,0.251,0.859,245303,0.605,0,0.132,-7.635,0.357,82.91,0.722,67,0,2
